type,par_rank,tier,female,k_rank
3.0,0.5777613961622351,10,0.35669783,0.52197212
3.0,0.5180613060825792,10,0.37394604,0.49274001
3.0,0.6032358670763194,10,0.51477832,0.49110997
3.0,0.590799188642157,10,0.45168939,0.51757824
3.0,0.5855355689820555,10,0.55154639,0.51643348
3.0,0.5836303219908759,10,0.39495799,0.55562413
2.0,0.6700166662534078,6,0.56226414,0.55679291
1.0,0.5100794743252485,9,0.51433694,0.47108439
2.0,0.6411178192995876,6,0.6069364,0.60016811
1.0,0.6182191690302784,9,0.55590063,0.53356785
2.0,0.7621525287628174,6,0.60139859,0.73252755
1.0,0.4837827756835355,9,0.58055556,0.48751354
1.0,0.3943832564641772,7,0.57746476,0.4689441
1.0,0.311169574658076,9,0.55787784,0.40582091
1.0,0.5090663519799603,9,0.54571325,0.49675524
1.0,0.7596294441249642,5,0.50273508,0.65452141
1.0,0.5546741882464535,5,0.61197007,0.56350595
2.0,0.6960997434481901,6,0.53063345,0.66369879
1.0,0.4255819011006371,9,0.6004343000000001,0.44805822
2.0,0.7545178960550007,4,0.57327586,0.70730913
2.0,0.6779491567388684,6,0.64115644,0.64864296
2.0,0.6220927019093581,6,0.56552964,0.62695628
2.0,0.7100477327482737,4,0.57683742,0.68580896
1.0,0.5897194269911458,9,0.51364821,0.53431332
1.0,0.52891390397096,5,0.57209885,0.54391879
3.0,0.5802091380740423,11,0.034642032999999996,0.60135126
3.0,0.6207334311282049,12,0.94262296,0.43418908
3.0,0.5399256547292074,12,0.95081967,0.3586278
2.0,0.5440699939362921,6,0.50395781,0.58458745
2.0,0.6350590189297994,6,0.63926941,0.64514816
2.0,0.7066015750707147,6,0.6244204000000001,0.59809679
2.0,0.7764673219126583,4,0.37751856,0.80889088
1.0,0.3691102429455211,9,0.58223289,0.45412788
2.0,0.4952908026073208,8,0.66284072,0.45340496
2.0,0.6810677193509718,6,0.54115587,0.64553618
2.0,0.6563099624751841,6,0.5985437,0.65394658
1.0,0.676927100482639,5,0.55561137,0.60989851
3.0,0.5725069642066956,12,0.86301368,0.42122029999999994
2.0,0.4874690473079681,8,0.50200802,0.48841146
2.0,0.5673248020948561,8,0.580531,0.44465779999999994
2.0,0.7215916180184909,4,0.5607143,0.53754479
2.0,0.7632274883399123,2,0.99564135,0.67723608
2.0,0.5559934122638189,6,0.66625917,0.58576322
1.0,0.4706887515103302,9,0.45327756,0.51013076
2.0,0.6446572542190552,6,0.66486484,0.60008484
1.0,0.4499713169266834,9,0.36461347,0.52980369
2.0,0.8368437985811821,2,0.50351286,0.70537943
1.0,0.5303763939420557,9,0.38678414,0.52076536
1.0,0.5138029058774313,9,0.53595656,0.50097728
2.0,0.6075195633528525,6,1.0,0.5761252
3.0,0.4870576858520508,10,0.66666669,0.48306781
2.0,0.7646129088944915,4,0.58958775,0.65530515
1.0,0.4093774895454456,9,0.57586837,0.45656583
2.0,0.576267579858772,6,0.75313807,0.54729539
3.0,0.5880723794301351,11,0.92990655,0.47114673
2.0,0.5884918173154196,6,0.59498209,0.52498347
2.0,0.6964770682952689,6,0.65251571,0.67119455
1.0,0.6733152712448277,7,0.46969968,0.5751664000000001
2.0,0.5735851479539396,6,0.46080759,0.60753596
1.0,0.5253840463592651,9,0.47021276,0.49620631
2.0,0.6756675324723975,6,0.52109182,0.6071707
1.0,0.4444835647648456,9,0.48558247,0.50367922
2.0,0.7442192859811071,6,0.59873062,0.59168798
2.0,0.7186199265286095,4,0.59974092,0.60360307
2.0,0.6591562231381735,6,0.52597404,0.61465371
2.0,0.7083800236384074,6,0.57174885,0.67489892
2.0,0.4726729804561252,6,0.98941797,0.54485458
2.0,0.666845803751665,4,0.69786096,0.45246801
2.0,0.7385428145414725,4,0.42668799,0.78980106
1.0,0.5646515426222204,9,0.46314633,0.55053645
3.0,0.4144115092827001,10,0.6783154,0.56481647
3.0,0.4736024519683177,10,0.70500374,0.57118571
2.0,0.7461677844778412,8,0.22272144,0.51617122
1.0,0.5329342174642491,9,0.53679246,0.50555092
2.0,0.7051853338877359,6,0.64803803,0.61237258
2.0,0.6186690513566321,8,0.0098280096,0.48168889
2.0,0.5766317844390869,6,0.53571427,0.64438123
2.0,0.5890272608170143,6,0.45641026,0.61523902
2.0,0.5826358538747174,8,0.5099715,0.55298775
2.0,0.6155825536060696,6,0.62484157,0.52687615
2.0,0.4658280909061432,6,0.53539824,0.54034507
2.0,0.7113997935918377,6,0.61640799,0.60115796
2.0,0.4118015468120575,6,0.55299538,0.53474271
1.0,0.4457997614294616,9,0.55827886,0.47732043
1.0,0.5156856490819678,9,0.48653668,0.53264689
1.0,0.6702496544218265,3,0.54666668,0.74108601
2.0,0.6824752400597308,6,0.63925236,0.55962592
2.0,0.7771028251350615,6,0.57390302,0.65911663
1.0,0.3251486511741366,9,0.62077922,0.44653323
1.0,0.5324076005022068,7,0.46561968,0.62555546
1.0,0.5623169784259325,9,0.53896815,0.53452384
1.0,0.3923003148798849,9,0.50980395,0.47044539
2.0,0.5411536494890848,6,0.54090911,0.62804711
1.0,0.5713845811440394,9,0.58538461,0.51734918
1.0,0.3654694417074545,9,0.61442786,0.41552585
1.0,0.6129660814326743,9,0.46608695,0.57896727
2.0,0.3852612798084422,6,0.61233479,0.57139349
1.0,0.6519797045910366,5,0.6061420999999999,0.65233189
1.0,0.5022862056891123,9,0.58347386,0.49327916
1.0,0.4983999682341758,9,0.54312116,0.44713226
1.0,0.5631646841664331,9,0.53863382,0.52480859
1.0,0.4523832784793504,5,0.5424493,0.48312131
2.0,0.6228489677111307,6,0.5728395000000001,0.59991819
1.0,0.5971794211409653,5,0.52977616,0.53644258
2.0,0.2755931516488393,6,0.69729728,0.46024466
1.0,0.5083466679100098,9,0.56666666,0.50281465
2.0,0.8149044813298543,2,0.51660973,0.76141644
2.0,0.7573689233754773,4,0.62199748,0.71910805
2.0,0.8140771136139379,2,0.51275915,0.72696257
1.0,0.6775960009792706,5,0.5663774,0.62943923
3.0,0.4194982548554738,11,0.7011494,0.46716338
3.0,0.5569168130556742,11,0.78260869,0.44117302
2.0,0.7350370722447391,6,0.55595547,0.70388341
2.0,0.7735606674269918,2,0.57296038,0.71823013
1.0,0.5589279285588362,7,0.47708449,0.56591117
2.0,0.6493408842835315,6,0.98255813,0.54620558
2.0,0.6770753802037707,8,0.46498599999999995,0.50747263
2.0,0.5207440654436747,6,0.49494949,0.50808114
2.0,0.5710634852325162,6,0.55470252,0.63277799
3.0,0.5411394225544564,10,0.43687063,0.5401206000000001
1.0,0.5583400328954061,9,0.55026454,0.44231838
2.0,0.6537058121806454,6,0.55651236,0.6406489000000001
1.0,0.669295114230061,5,0.62080634,0.63724977
2.0,0.7680162504806661,6,0.54861033,0.52898645
2.0,0.6779643297195435,6,0.57452577,0.48858145
2.0,0.6765709751569201,8,0.57198519,0.47322392
1.0,0.5410377499030297,9,0.57198793,0.52935582
1.0,0.6464711260921038,9,0.47508511,0.55315858
3.0,0.3153695534939403,10,0.82119203,0.39060855
3.0,0.658332428322245,10,0.47634912,0.51142704
1.0,0.5323553318264841,9,0.51482153,0.51109213
1.0,0.4874034827277367,7,0.55082887,0.51803905
3.0,0.5422268755732395,10,0.3162339,0.54164797
2.0,0.8358310583608629,1,0.5372718000000001,0.73642915
1.0,0.4318217288332376,9,0.62378168,0.4229942
2.0,0.6166442788715633,6,0.6014151,0.50863606
2.0,0.7464723189671835,6,0.39951575,0.79210043
2.0,0.741593933584702,2,0.99623114,0.6327461
2.0,0.7941659551511691,2,0.49595469,0.76141262
1.0,0.6348983658962016,9,0.50630212,0.54301298
2.0,0.5736086247033717,6,0.5401997,0.66623867
1.0,0.4554089284860171,9,0.54284322,0.51089334
1.0,0.6087164465819093,9,0.50845051,0.55185646
1.0,0.5305654009183248,9,0.5,0.53036118
1.0,0.5698935178599257,9,0.54449648,0.51015115
2.0,0.7732336700929178,6,0.63416219,0.71267241
1.0,0.5239578460072101,9,0.47420523,0.49785635
1.0,0.4264433704346428,5,0.55186212,0.69869983
1.0,0.3339074976434152,9,0.561055,0.53319645
1.0,0.2991017200409958,9,0.55779111,0.50278765
1.0,0.4766045880321624,5,0.59425551,0.61369479
1.0,0.4667226650828001,5,0.6918084,0.61823165
1.0,0.4057631381948142,5,0.59527689,0.6412642
1.0,0.3295890906468312,9,0.57838142,0.53089285
1.0,0.3411889164049006,5,0.67544484,0.60539794
1.0,0.3383242038773819,5,0.69483566,0.53025568
1.0,0.5223372375912271,5,0.61209625,0.62943792
1.0,0.3554833764075369,5,0.68115944,0.56992602
1.0,0.2668369026173951,9,0.69263458,0.50042081
1.0,0.5603035700023355,9,0.49319521,0.49451822
2.0,0.6844823150634766,6,0.63466668,0.65229261
2.0,0.6006354441245397,6,0.57312924,0.48656720000000003
2.0,0.6311748981291581,6,0.62596601,0.6407965999999999
1.0,0.51252747178863,9,0.52700925,0.46177754
1.0,0.5556613512998209,9,0.55225432,0.48694676
2.0,0.6211970770681227,6,0.64864862,0.55966318
2.0,0.6611192316379187,8,0.58221024,0.51260179
3.0,0.5842344386753066,11,0.38528138,0.51063663
2.0,0.7460042213226532,2,0.33216783,0.77411675
2.0,0.6949294752076917,8,0.45923913,0.51210344
2.0,0.7220272735092375,6,0.57888889,0.66655928
1.0,0.7121309275212495,5,0.15217391,0.79060483
1.0,0.7532488309138508,5,0.46565855,0.73158324
1.0,0.5834559056033416,5,0.42013362,0.68787456
1.0,0.623631151642463,5,0.58687133,0.64981306
1.0,0.5501419465430538,5,0.64312041,0.62575829
1.0,0.7126937330901266,5,0.56964475,0.6554296
1.0,0.4167944687684143,5,0.6971935,0.60081446
1.0,0.6212438907634699,5,0.65980864,0.66516989
1.0,0.5588838736112268,5,0.6037431999999999,0.62684512
1.0,0.6047330944433,5,0.61668068,0.64307481
1.0,0.6134309212801523,5,0.64032125,0.65209162
1.0,0.3720243606367971,5,0.62447017,0.61570972
1.0,0.641400318130974,5,0.58884299,0.60468066
1.0,0.5138591833237115,5,0.58629012,0.62309015
1.0,0.5503277990303923,5,0.64688855,0.61586326
1.0,0.6395805807942446,5,0.61340606,0.62741566
1.0,0.557670304431251,5,0.66887784,0.61842811
1.0,0.5750983664915472,5,0.51052445,0.59036517
2.0,0.745197286227775,6,0.56354451,0.62586325
3.0,0.3764465054168421,11,0.88235295,0.43750298
1.0,0.5660411425846834,9,0.53799486,0.52860987
1.0,0.4813592805918274,5,0.53039598,0.54529303
2.0,0.5558958769492481,6,0.42536232,0.62192988
2.0,0.55717400709788,6,0.52857143,0.54238796
2.0,0.6522002071066132,6,0.5196529000000001,0.69004172
1.0,0.5505209876762944,9,0.55615699,0.49749732
1.0,0.5547233355012499,9,0.48332822,0.47062463
1.0,0.4137920637925466,9,0.46017516,0.49911940000000005
1.0,0.4395453730476832,9,0.63393807,0.51669317
2.0,0.6229858721957802,6,0.59396917,0.64103639
3.0,0.5482890954962721,12,0.9054054,0.42530559999999995
2.0,0.6361485238087148,6,0.73815459,0.61554819
1.0,0.4060203956994224,9,0.57831323,0.48544341
1.0,0.4905783832073212,9,0.57429719,0.50335246
2.0,0.8093427062904748,2,0.52481753,0.68178016
2.0,0.5331313958827485,6,0.95319152,0.59269267
2.0,0.7693093988564935,2,0.38551979999999997,0.75706863
3.0,0.4347629447778066,11,0.91599542,0.46310672
3.0,0.3738579750061035,11,0.87958115,0.41432396
3.0,0.4002894858519236,11,0.91666669,0.40423626
2.0,0.6514489849408468,6,0.59597808,0.65410316
1.0,0.6619486196616096,9,0.55299538,0.55895084
2.0,0.6812505400603284,6,0.66409862,0.63652867
2.0,0.6067659091908497,6,0.556701,0.56545782
1.0,0.4371577456289408,9,0.59727889,0.4242714
2.0,0.7002492713714873,6,0.54138702,0.65262026
1.0,0.6973750235741598,9,0.43391812,0.56476897
2.0,0.7467777389151662,2,0.38777414,0.76992291
1.0,0.5419522071566829,9,0.53201634,0.57678252
2.0,0.6711183389027915,6,0.51546389,0.60263246
1.0,0.5161626206300197,9,0.52512819,0.48456275
2.0,0.7856142333824269,6,0.53467155,0.69165415
1.0,0.5156968998272271,9,0.52403563,0.50477928
2.0,0.5330708917034299,6,0.71875,0.51207566
1.0,0.5885267655054728,9,0.56896549,0.5406549
2.0,0.7086563353926917,6,0.54532903,0.57739031
2.0,0.6375241651007878,6,0.71608043,0.56908441
2.0,0.6878142479164847,6,0.61896551,0.65738642
2.0,0.2765947679678599,12,0.55517244,0.41186032
1.0,0.4588460289146172,9,0.51980501,0.49485618
1.0,0.4690358676876192,9,0.57392389,0.46392715
1.0,0.39220388576780496,9,0.60394734,0.45493814
2.0,0.6500722630989674,6,0.59307766,0.65002942
1.0,0.47507387154422204,9,0.55843741,0.51693428
1.0,0.6637320882967532,5,0.49430364,0.65054363
1.0,0.3430318633715312,9,0.65714288,0.41773623
2.0,0.5519496543953816,6,0.51215279,0.58226788
1.0,0.6897156996616806,5,0.60200667,0.62630641
1.0,0.4682950087886726,9,0.51316422,0.45718208
1.0,0.5042798730577875,9,0.63339919,0.513578
1.0,0.5527244376501858,9,0.51796007,0.4882001
3.0,0.5450814176427907,10,0.77793103,0.50468165
1.0,0.5611363178791943,9,0.51327181,0.48428822
1.0,0.3995210727055867,5,0.54010028,0.47048882
1.0,0.4504534081234002,9,0.32609484,0.56444848
1.0,0.5449521345982986,9,0.53596163,0.5134449000000001
1.0,0.681560285510605,5,0.53757709,0.62899685
1.0,0.4566790095898284,9,0.59243697,0.48950568
1.0,0.5243505095124776,7,0.52451706,0.51560569
2.0,0.7441823786980397,4,0.55000001,0.66438246
1.0,0.4209085262286327,9,0.52829599,0.51618916
1.0,0.5563311397981567,9,0.51655984,0.4992246
1.0,0.614270591068468,9,0.49657103,0.55527413
1.0,0.5303548084935609,5,0.54812098,0.62104261
1.0,0.5297702180273073,9,0.53472883,0.49743822
2.0,0.5264905347717428,6,0.54171705,0.57636702
2.0,0.6413299402971377,6,0.53256702,0.60939729
2.0,0.7136863393306468,4,0.57103372,0.64327455
1.0,0.5759068555778546,9,0.54580337,0.47245508
2.0,0.5725940465927124,6,0.63722825,0.57929814
2.0,0.569233713944753,6,0.98666668,0.54287714
1.0,0.5515448053677877,9,0.47348768,0.47147736
1.0,0.4562154610951741,9,0.60646385,0.48262495
1.0,0.5044858081383244,9,0.52389878,0.48673061
1.0,0.5309427424136135,9,0.5205192,0.49338758
1.0,0.5221978767087462,9,0.58682632,0.52815354
2.0,0.5737864772478739,6,0.83625734,0.59218025
1.0,0.37588223377980107,5,0.49706745,0.48886046
1.0,0.3983873117456047,5,0.71143085,0.54049587
1.0,0.4550457994143168,7,0.51313484,0.52272105
1.0,0.5272495247969791,9,0.47410893,0.55422097
2.0,0.6615300246940624,6,0.49784791,0.68694597
1.0,0.6662082195670129,5,0.59299958,0.61848271
2.0,0.6101734042167664,8,0.49321267,0.5354048
1.0,0.5387472654464854,9,0.48999575,0.53010601
1.0,0.4565880899436963,9,0.51495725,0.51652712
1.0,0.7159689566866373,5,0.05358436,0.72840154
1.0,0.5373987156508866,9,0.5257715000000001,0.50449359
1.0,0.3771185075376944,5,0.47223812,0.65994656
1.0,0.3818695743878682,9,0.61105335,0.4835932
1.0,0.5730375944825625,9,0.47110114,0.50656217
2.0,0.3576023479302724,6,0.66911763,0.54661691
2.0,0.7825835626525688,2,0.46992481,0.74572706
1.0,0.4553421492809835,9,0.41485506,0.50519514
1.0,0.5868595817509821,5,0.6134454,0.58595568
2.0,0.4900735599960008,6,0.71659267,0.56886071
1.0,0.6088372821611369,9,0.53063023,0.51722413
